clockticks,wolves,moose,squirrels,wolf_births,wolf_starved,wolf_old_age,moose_eaten,moose_births,moose_starved,moose_old_age,squirrels_born,squirrels_eaten,squirrels_starved,squirrels_old_age,vegetation_fraction
0.0,1000.0,3000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.16
1.0,1063.0,2789.0,10757.0,63.0,0.0,0.0,409.0,198.0,0.0,0.0,1053.0,0.0,0.0,296.0,71.68
2.0,1070.0,2679.0,10473.0,18.0,0.0,11.0,150.0,48.0,0.0,8.0,409.0,0.0,374.0,319.0,71.95
3.0,1093.0,2576.0,10154.0,29.0,0.0,6.0,138.0,44.0,0.0,9.0,391.0,0.0,385.0,325.0,72.16
4.0,1127.0,2493.0,9822.0,39.0,0.0,5.0,118.0,42.0,0.0,7.0,352.0,0.0,350.0,334.0,72.33
5.0,1148.0,2441.0,9565.0,26.0,0.0,5.0,94.0,49.0,0.0,7.0,352.0,1.0,323.0,285.0,72.68
6.0,1165.0,2399.0,9334.0,22.0,0.0,5.0,73.0,40.0,0.0,9.0,325.0,1.0,302.0,253.0,72.81
7.0,1174.0,2366.0,9124.0,13.0,0.0,4.0,75.0,49.0,0.0,7.0,309.0,4.0,316.0,199.0,73.1
8.0,1184.0,2341.0,9064.0,16.0,0.0,6.0,60.0,45.0,0.0,10.0,403.0,5.0,295.0,163.0,73.57
9.0,1183.0,2315.0,9024.0,9.0,0.0,10.0,49.0,36.0,0.0,13.0,430.0,8.0,299.0,163.0,74.06
10.0,1192.0,2305.0,8947.0,12.0,0.0,3.0,39.0,35.0,0.0,6.0,403.0,9.0,301.0,170.0,74.41
11.0,1194.0,2295.0,8898.0,9.0,0.0,7.0,30.0,27.0,0.0,7.0,377.0,13.0,277.0,136.0,75.01
12.0,1196.0,2302.0,8798.0,8.0,0.0,6.0,26.0,45.0,0.0,12.0,338.0,16.0,275.0,147.0,75.52
13.0,1195.0,2319.0,8778.0,2.0,0.0,3.0,15.0,36.0,0.0,4.0,367.0,13.0,263.0,111.0,76.02
14.0,1187.0,2333.0,8744.0,3.0,0.0,11.0,20.0,36.0,0.0,2.0,331.0,17.0,255.0,93.0,76.74
15.0,1185.0,2345.0,8677.0,2.0,0.0,4.0,18.0,35.0,0.0,5.0,323.0,16.0,266.0,108.0,78.36
16.0,1186.0,2364.0,8637.0,4.0,0.0,3.0,15.0,40.0,0.0,6.0,327.0,12.0,271.0,84.0,78.71
17.0,1181.0,2397.0,8598.0,2.0,0.0,7.0,6.0,44.0,0.0,5.0,321.0,19.0,260.0,81.0,79.0
18.0,1176.0,2408.0,8593.0,0.0,0.0,5.0,17.0,37.0,0.0,9.0,364.0,26.0,241.0,102.0,79.07
19.0,1177.0,2438.0,8547.0,5.0,0.0,4.0,8.0,40.0,0.0,2.0,317.0,24.0,239.0,100.0,79.23
20.0,1153.0,2486.0,8584.0,5.0,25.0,4.0,6.0,60.0,0.0,6.0,368.0,22.0,227.0,82.0,79.59
21.0,1121.0,2562.0,8529.0,5.0,35.0,2.0,5.0,90.0,0.0,9.0,321.0,31.0,269.0,76.0,79.58
22.0,1053.0,2651.0,8470.0,6.0,66.0,8.0,5.0,99.0,0.0,5.0,318.0,24.0,278.0,75.0,79.62
23.0,992.0,2709.0,8355.0,8.0,62.0,7.0,1.0,68.0,0.0,9.0,285.0,37.0,291.0,72.0,79.7
24.0,913.0,2758.0,8281.0,3.0,75.0,7.0,3.0,58.0,0.0,6.0,286.0,24.0,268.0,68.0,79.66
25.0,824.0,2795.0,8256.0,2.0,89.0,2.0,0.0,43.0,0.0,6.0,348.0,21.0,301.0,51.0,79.64
26.0,741.0,2869.0,8222.0,1.0,82.0,2.0,0.0,82.0,0.0,8.0,345.0,26.0,315.0,38.0,79.68
27.0,669.0,2911.0,8093.0,2.0,72.0,2.0,2.0,48.0,0.0,4.0,297.0,33.0,335.0,58.0,79.57
28.0,590.0,2966.0,7986.0,1.0,76.0,4.0,1.0,58.0,0.0,2.0,280.0,25.0,321.0,41.0,79.49
29.0,520.0,3019.0,7913.0,5.0,73.0,2.0,0.0,59.0,0.0,6.0,301.0,30.0,317.0,27.0,79.41
30.0,469.0,3054.0,7867.0,1.0,52.0,0.0,0.0,43.0,0.0,8.0,331.0,38.0,308.0,31.0,79.4
31.0,411.0,3099.0,7815.0,0.0,56.0,2.0,2.0,54.0,0.0,7.0,275.0,34.0,271.0,22.0,79.33
32.0,357.0,3133.0,7766.0,0.0,54.0,0.0,2.0,46.0,0.0,10.0,303.0,34.0,295.0,23.0,79.41
33.0,310.0,3177.0,7720.0,1.0,47.0,1.0,0.0,49.0,0.0,5.0,301.0,18.0,304.0,25.0,79.32
34.0,273.0,3218.0,7634.0,1.0,36.0,2.0,0.0,47.0,0.0,6.0,264.0,32.0,300.0,18.0,79.24
35.0,247.0,3260.0,7571.0,0.0,26.0,0.0,0.0,52.0,0.0,10.0,291.0,27.0,310.0,17.0,79.2
36.0,223.0,3302.0,7527.0,0.0,24.0,0.0,0.0,50.0,0.0,8.0,276.0,35.0,264.0,21.0,79.13
37.0,201.0,3355.0,7513.0,0.0,22.0,0.0,0.0,58.0,0.0,5.0,306.0,36.0,268.0,16.0,78.94
38.0,170.0,3404.0,7494.0,0.0,30.0,1.0,0.0,62.0,0.0,13.0,301.0,24.0,285.0,11.0,78.97
39.0,155.0,3478.0,7428.0,0.0,15.0,0.0,0.0,84.0,0.0,10.0,249.0,40.0,262.0,13.0,78.87
40.0,131.0,3532.0,7402.0,0.0,23.0,1.0,0.0,59.0,0.0,5.0,261.0,27.0,253.0,7.0,78.66
41.0,116.0,3664.0,7389.0,1.0,16.0,0.0,0.0,137.0,0.0,5.0,306.0,23.0,293.0,3.0,78.58
42.0,92.0,3735.0,7359.0,0.0,24.0,0.0,0.0,79.0,0.0,8.0,279.0,24.0,277.0,8.0,78.49
43.0,74.0,3853.0,7317.0,0.0,18.0,0.0,0.0,126.0,0.0,8.0,244.0,25.0,257.0,4.0,78.27
44.0,63.0,3918.0,7313.0,0.0,11.0,0.0,0.0,76.0,0.0,11.0,310.0,36.0,276.0,2.0,78.09
45.0,56.0,4019.0,7292.0,0.0,6.0,1.0,0.0,107.0,0.0,6.0,281.0,32.0,266.0,4.0,77.93
46.0,46.0,4102.0,7270.0,0.0,10.0,0.0,0.0,90.0,0.0,7.0,263.0,29.0,250.0,6.0,77.69
47.0,43.0,4177.0,7245.0,0.0,3.0,0.0,0.0,83.0,0.0,8.0,281.0,29.0,270.0,7.0,77.5
48.0,39.0,4236.0,7206.0,0.0,4.0,0.0,0.0,68.0,0.0,9.0,260.0,28.0,264.0,7.0,77.24
49.0,33.0,4317.0,7183.0,0.0,6.0,0.0,0.0,91.0,0.0,10.0,273.0,18.0,276.0,2.0,76.98
50.0,27.0,4388.0,7194.0,0.0,6.0,0.0,0.0,80.0,0.0,9.0,306.0,25.0,263.0,7.0,76.64
51.0,23.0,4437.0,7171.0,0.0,4.0,0.0,0.0,59.0,0.0,10.0,256.0,31.0,246.0,2.0,76.4
52.0,19.0,4496.0,7186.0,0.0,4.0,0.0,0.0,68.0,0.0,9.0,287.0,25.0,246.0,1.0,76.24
53.0,15.0,4559.0,7160.0,0.0,4.0,0.0,0.0,68.0,0.0,5.0,265.0,21.0,266.0,4.0,76.08
54.0,13.0,4625.0,7151.0,0.0,2.0,0.0,0.0,69.0,0.0,3.0,275.0,28.0,256.0,0.0,75.8
55.0,12.0,4684.0,7137.0,0.0,1.0,0.0,0.0,68.0,1.0,8.0,292.0,33.0,271.0,2.0,75.56
56.0,11.0,4747.0,7101.0,0.0,1.0,0.0,0.0,73.0,0.0,10.0,268.0,30.0,272.0,2.0,75.27
57.0,10.0,4821.0,7091.0,0.0,1.0,0.0,0.0,80.0,0.0,6.0,259.0,26.0,243.0,0.0,74.87
58.0,9.0,4927.0,7087.0,0.0,1.0,0.0,0.0,112.0,0.0,6.0,282.0,29.0,253.0,4.0,74.59
59.0,7.0,5018.0,7060.0,0.0,2.0,0.0,0.0,96.0,0.0,5.0,277.0,26.0,278.0,0.0,74.23
60.0,6.0,5116.0,7051.0,0.0,0.0,1.0,0.0,107.0,0.0,9.0,274.0,39.0,243.0,1.0,73.91
61.0,5.0,5268.0,7019.0,0.0,1.0,0.0,0.0,158.0,0.0,6.0,257.0,42.0,247.0,0.0,73.59
62.0,4.0,5386.0,6981.0,0.0,1.0,0.0,0.0,127.0,0.0,9.0,247.0,39.0,246.0,0.0,73.34
63.0,3.0,5485.0,6944.0,0.0,1.0,0.0,0.0,106.0,1.0,6.0,240.0,21.0,255.0,1.0,72.89
64.0,3.0,5652.0,6932.0,0.0,0.0,0.0,0.0,181.0,1.0,13.0,272.0,27.0,257.0,0.0,72.45
65.0,3.0,5756.0,6909.0,0.0,0.0,0.0,0.0,113.0,1.0,8.0,254.0,41.0,236.0,0.0,72.05
66.0,3.0,5886.0,6879.0,0.0,0.0,0.0,0.0,136.0,0.0,6.0,264.0,30.0,264.0,0.0,71.66
67.0,2.0,6003.0,6861.0,0.0,1.0,0.0,0.0,128.0,0.0,11.0,267.0,37.0,248.0,0.0,71.18
68.0,2.0,6118.0,6850.0,0.0,0.0,0.0,0.0,125.0,1.0,9.0,260.0,41.0,230.0,0.0,70.84
69.0,2.0,6221.0,6789.0,0.0,0.0,0.0,0.0,115.0,0.0,12.0,232.0,38.0,255.0,0.0,70.38
70.0,2.0,6324.0,6793.0,0.0,0.0,0.0,0.0,106.0,0.0,3.0,280.0,38.0,238.0,0.0,69.96
71.0,1.0,6442.0,6688.0,0.0,1.0,0.0,0.0,126.0,0.0,8.0,213.0,44.0,274.0,0.0,69.54
72.0,1.0,6542.0,6638.0,0.0,0.0,0.0,0.0,104.0,0.0,4.0,237.0,46.0,241.0,0.0,69.1
73.0,0.0,6634.0,6644.0,0.0,1.0,0.0,0.0,101.0,1.0,8.0,278.0,38.0,234.0,0.0,68.69
74.0,0.0,6711.0,6606.0,0.0,0.0,0.0,0.0,85.0,2.0,6.0,234.0,43.0,229.0,0.0,68.32
75.0,0.0,6807.0,6556.0,0.0,0.0,0.0,0.0,105.0,1.0,8.0,232.0,48.0,234.0,0.0,67.92
76.0,0.0,6905.0,6500.0,0.0,0.0,0.0,0.0,105.0,0.0,7.0,227.0,49.0,234.0,0.0,67.43
77.0,0.0,7020.0,6463.0,0.0,0.0,0.0,0.0,124.0,2.0,7.0,217.0,34.0,220.0,0.0,67.07
78.0,0.0,7137.0,6429.0,0.0,0.0,0.0,0.0,131.0,2.0,12.0,244.0,49.0,229.0,0.0,66.52
79.0,0.0,7284.0,6405.0,0.0,0.0,0.0,0.0,163.0,1.0,15.0,237.0,52.0,209.0,0.0,66.05
80.0,0.0,7423.0,6351.0,0.0,0.0,0.0,0.0,144.0,0.0,5.0,248.0,64.0,238.0,0.0,65.66
81.0,0.0,7657.0,6305.0,0.0,0.0,0.0,0.0,240.0,1.0,5.0,256.0,56.0,246.0,0.0,65.2
82.0,0.0,7788.0,6248.0,0.0,0.0,0.0,0.0,140.0,0.0,9.0,228.0,51.0,234.0,0.0,64.61
83.0,0.0,7989.0,6202.0,0.0,0.0,0.0,0.0,209.0,0.0,8.0,233.0,52.0,227.0,0.0,64.26
84.0,0.0,8149.0,6143.0,0.0,0.0,0.0,0.0,174.0,2.0,12.0,196.0,46.0,209.0,0.0,63.64
85.0,0.0,8374.0,6090.0,0.0,0.0,0.0,0.0,235.0,0.0,10.0,226.0,39.0,240.0,0.0,63.15
86.0,0.0,8532.0,6022.0,0.0,0.0,0.0,0.0,162.0,0.0,4.0,203.0,47.0,224.0,0.0,62.66
87.0,0.0,8697.0,5994.0,0.0,0.0,0.0,0.0,171.0,1.0,5.0,220.0,43.0,205.0,0.0,62.19
88.0,0.0,8872.0,5946.0,0.0,0.0,0.0,0.0,187.0,0.0,12.0,216.0,54.0,210.0,0.0,61.7
89.0,0.0,9060.0,5882.0,0.0,0.0,0.0,0.0,196.0,3.0,5.0,214.0,53.0,225.0,0.0,61.12
90.0,0.0,9221.0,5852.0,0.0,0.0,0.0,0.0,166.0,1.0,4.0,225.0,56.0,199.0,0.0,60.52
91.0,0.0,9365.0,5812.0,0.0,0.0,0.0,0.0,151.0,1.0,6.0,240.0,46.0,234.0,0.0,60.0
92.0,0.0,9527.0,5716.0,0.0,0.0,0.0,0.0,167.0,2.0,3.0,197.0,66.0,227.0,0.0,59.38
93.0,0.0,9677.0,5652.0,0.0,0.0,0.0,0.0,157.0,5.0,2.0,181.0,51.0,194.0,0.0,58.9
94.0,0.0,9822.0,5597.0,0.0,0.0,0.0,0.0,153.0,2.0,6.0,195.0,51.0,199.0,0.0,58.39
95.0,0.0,9951.0,5528.0,0.0,0.0,0.0,0.0,147.0,5.0,13.0,185.0,51.0,203.0,0.0,57.88
96.0,0.0,10097.0,5450.0,0.0,0.0,0.0,0.0,155.0,5.0,4.0,196.0,51.0,223.0,0.0,57.37
97.0,0.0,10248.0,5427.0,0.0,0.0,0.0,0.0,163.0,6.0,6.0,217.0,45.0,195.0,0.0,56.72
98.0,0.0,10439.0,5387.0,0.0,0.0,0.0,0.0,196.0,1.0,4.0,203.0,46.0,197.0,0.0,56.3
99.0,0.0,10621.0,5303.0,0.0,0.0,0.0,0.0,192.0,6.0,4.0,187.0,73.0,198.0,0.0,55.75
100.0,0.0,10845.0,5252.0,0.0,0.0,0.0,0.0,236.0,4.0,8.0,186.0,64.0,173.0,0.0,55.15
101.0,0.0,11115.0,5193.0,0.0,0.0,0.0,0.0,281.0,4.0,7.0,188.0,55.0,192.0,0.0,54.74
102.0,0.0,11363.0,5123.0,0.0,0.0,0.0,0.0,268.0,13.0,7.0,158.0,47.0,181.0,0.0,54.14
103.0,0.0,11595.0,5061.0,0.0,0.0,0.0,0.0,245.0,7.0,6.0,174.0,57.0,179.0,0.0,53.59
104.0,0.0,11873.0,5003.0,0.0,0.0,0.0,0.0,297.0,12.0,7.0,161.0,55.0,164.0,0.0,53.08
105.0,0.0,12100.0,4935.0,0.0,0.0,0.0,0.0,258.0,24.0,7.0,162.0,47.0,183.0,0.0,52.44
106.0,0.0,12384.0,4848.0,0.0,0.0,0.0,0.0,305.0,11.0,10.0,162.0,76.0,173.0,0.0,51.96
107.0,0.0,12606.0,4753.0,0.0,0.0,0.0,0.0,243.0,16.0,5.0,164.0,63.0,196.0,0.0,51.4
108.0,0.0,12834.0,4659.0,0.0,0.0,0.0,0.0,253.0,19.0,6.0,148.0,68.0,174.0,0.0,50.85
109.0,0.0,13077.0,4549.0,0.0,0.0,0.0,0.0,270.0,23.0,4.0,135.0,66.0,179.0,0.0,50.33
110.0,0.0,13295.0,4467.0,0.0,0.0,0.0,0.0,247.0,23.0,6.0,160.0,69.0,173.0,0.0,49.93
111.0,0.0,13518.0,4373.0,0.0,0.0,0.0,0.0,248.0,19.0,6.0,130.0,69.0,155.0,0.0,49.45
112.0,0.0,13723.0,4279.0,0.0,0.0,0.0,0.0,242.0,30.0,7.0,140.0,55.0,179.0,0.0,48.93
113.0,0.0,13929.0,4223.0,0.0,0.0,0.0,0.0,233.0,23.0,4.0,137.0,42.0,151.0,0.0,48.49
114.0,0.0,14091.0,4144.0,0.0,0.0,0.0,0.0,202.0,32.0,8.0,154.0,61.0,172.0,0.0,47.97
115.0,0.0,14291.0,4068.0,0.0,0.0,0.0,0.0,239.0,34.0,5.0,134.0,59.0,151.0,0.0,47.46
116.0,0.0,14454.0,3958.0,0.0,0.0,0.0,0.0,209.0,39.0,7.0,117.0,61.0,166.0,0.0,46.99
117.0,0.0,14662.0,3850.0,0.0,0.0,0.0,0.0,255.0,38.0,9.0,97.0,49.0,156.0,0.0,46.51
118.0,0.0,14850.0,3772.0,0.0,0.0,0.0,0.0,242.0,44.0,10.0,115.0,49.0,144.0,0.0,46.07
119.0,0.0,15084.0,3693.0,0.0,0.0,0.0,0.0,278.0,38.0,6.0,116.0,58.0,137.0,0.0,45.65
120.0,0.0,15307.0,3618.0,0.0,0.0,0.0,0.0,282.0,53.0,6.0,113.0,43.0,145.0,0.0,45.23
121.0,0.0,15638.0,3523.0,0.0,0.0,0.0,0.0,386.0,48.0,7.0,115.0,65.0,145.0,0.0,44.76
122.0,0.0,15947.0,3450.0,0.0,0.0,0.0,0.0,369.0,54.0,6.0,121.0,65.0,129.0,0.0,44.35
123.0,0.0,16260.0,3349.0,0.0,0.0,0.0,0.0,384.0,66.0,5.0,98.0,55.0,144.0,0.0,44.02
124.0,0.0,16511.0,3275.0,0.0,0.0,0.0,0.0,331.0,70.0,10.0,122.0,46.0,150.0,0.0,43.6
125.0,0.0,16832.0,3189.0,0.0,0.0,0.0,0.0,396.0,67.0,8.0,98.0,53.0,131.0,0.0,43.18
126.0,0.0,17106.0,3095.0,0.0,0.0,0.0,0.0,355.0,76.0,5.0,84.0,64.0,114.0,0.0,42.84
127.0,0.0,17423.0,3014.0,0.0,0.0,0.0,0.0,411.0,87.0,7.0,87.0,55.0,113.0,0.0,42.47
128.0,0.0,17658.0,2941.0,0.0,0.0,0.0,0.0,338.0,96.0,7.0,94.0,43.0,124.0,0.0,42.06
129.0,0.0,17897.0,2858.0,0.0,0.0,0.0,0.0,335.0,89.0,7.0,83.0,57.0,109.0,0.0,41.69
130.0,0.0,18112.0,2794.0,0.0,0.0,0.0,0.0,317.0,96.0,6.0,92.0,48.0,108.0,0.0,41.31
131.0,0.0,18334.0,2739.0,0.0,0.0,0.0,0.0,332.0,105.0,5.0,95.0,41.0,109.0,0.0,40.86
132.0,0.0,18513.0,2679.0,0.0,0.0,0.0,0.0,310.0,126.0,5.0,86.0,47.0,99.0,0.0,40.48
133.0,0.0,18692.0,2613.0,0.0,0.0,0.0,0.0,313.0,131.0,3.0,82.0,48.0,100.0,0.0,40.16
134.0,0.0,18854.0,2555.0,0.0,0.0,0.0,0.0,304.0,136.0,6.0,83.0,45.0,96.0,0.0,39.84
135.0,0.0,19016.0,2488.0,0.0,0.0,0.0,0.0,313.0,146.0,5.0,73.0,50.0,90.0,0.0,39.57
136.0,0.0,19169.0,2411.0,0.0,0.0,0.0,0.0,296.0,138.0,5.0,64.0,34.0,107.0,0.0,39.22
137.0,0.0,19299.0,2344.0,0.0,0.0,0.0,0.0,282.0,141.0,11.0,70.0,38.0,99.0,0.0,38.93
138.0,0.0,19418.0,2295.0,0.0,0.0,0.0,0.0,317.0,188.0,10.0,83.0,34.0,98.0,0.0,38.71
139.0,0.0,19628.0,2257.0,0.0,0.0,0.0,0.0,363.0,151.0,2.0,85.0,39.0,84.0,0.0,38.46
140.0,0.0,19832.0,2190.0,0.0,0.0,0.0,0.0,382.0,175.0,3.0,63.0,36.0,94.0,0.0,38.22
141.0,0.0,20075.0,2136.0,0.0,0.0,0.0,0.0,426.0,173.0,10.0,69.0,44.0,79.0,0.0,37.96
142.0,0.0,20342.0,2077.0,0.0,0.0,0.0,0.0,487.0,214.0,6.0,74.0,43.0,90.0,0.0,37.7
143.0,0.0,20606.0,2046.0,0.0,0.0,0.0,0.0,469.0,201.0,4.0,71.0,27.0,75.0,0.0,37.44
144.0,0.0,20816.0,1999.0,0.0,0.0,0.0,0.0,412.0,198.0,4.0,73.0,36.0,84.0,0.0,37.21
145.0,0.0,21007.0,1945.0,0.0,0.0,0.0,0.0,421.0,219.0,11.0,56.0,40.0,70.0,0.0,36.98
146.0,0.0,21284.0,1873.0,0.0,0.0,0.0,0.0,476.0,192.0,7.0,50.0,42.0,80.0,0.0,36.69
147.0,0.0,21430.0,1817.0,0.0,0.0,0.0,0.0,395.0,242.0,7.0,59.0,37.0,78.0,0.0,36.47
148.0,0.0,21648.0,1798.0,0.0,0.0,0.0,0.0,453.0,228.0,7.0,76.0,26.0,69.0,0.0,36.27
149.0,0.0,21816.0,1761.0,0.0,0.0,0.0,0.0,423.0,251.0,4.0,63.0,29.0,71.0,0.0,36.0
150.0,0.0,21912.0,1721.0,0.0,0.0,0.0,0.0,383.0,287.0,0.0,57.0,36.0,61.0,0.0,35.78
151.0,0.0,22003.0,1692.0,0.0,0.0,0.0,0.0,391.0,295.0,5.0,66.0,30.0,65.0,0.0,35.57
152.0,0.0,22080.0,1646.0,0.0,0.0,0.0,0.0,357.0,277.0,3.0,55.0,31.0,70.0,0.0,35.36
153.0,0.0,22154.0,1620.0,0.0,0.0,0.0,0.0,362.0,286.0,2.0,58.0,23.0,61.0,0.0,35.22
154.0,0.0,22201.0,1568.0,0.0,0.0,0.0,0.0,339.0,288.0,4.0,43.0,37.0,58.0,0.0,35.06
155.0,0.0,22249.0,1541.0,0.0,0.0,0.0,0.0,369.0,313.0,8.0,58.0,28.0,57.0,0.0,34.94
156.0,0.0,22279.0,1504.0,0.0,0.0,0.0,0.0,361.0,328.0,3.0,47.0,25.0,59.0,0.0,34.79
157.0,0.0,22285.0,1475.0,0.0,0.0,0.0,0.0,347.0,337.0,4.0,49.0,27.0,51.0,0.0,34.69
158.0,0.0,22278.0,1456.0,0.0,0.0,0.0,0.0,334.0,334.0,7.0,51.0,17.0,53.0,0.0,34.55
159.0,0.0,22278.0,1430.0,0.0,0.0,0.0,0.0,338.0,332.0,6.0,64.0,30.0,60.0,0.0,34.42
